gene	number
NT5C1A	1
PAK2	1
PAK3	1
PALB2	1
PC	1
PCLO	1
PCNA	1
PDCD1LG2	1
PDE10A	1
PDE4B	1
PDGFA	1
PDGFRB	1
PDK1	1
PDK3	1
PDP2	1
PFKFB2	1
PGR	1
PHF8	1
PHKG2	1
PIK3C3	1
PIK3R2	1
PLK1	1
PLXNC1	1
PNMT	1
POFUT2	1
PPARD	1
PPM1D	1
PPP2CA	1
PPP2R1B	1
PRKAR1A	1
PRKCB	1
PRKCI	1
PROKR2	1
PRSS1	1
PTPN1	1
PTPN11	1
PTPRD	1
PTPRG	1
PTPRK	1
PTPRT	1
QKI	1
RAD21	1
RAD51	1
RAD51B	1
RAD51D	1
RALA	1
RAMP3	1
RAN	1
RARA	1
RARB	1
RET	1
RNF146	1
RUNX3	1
SBDS	1
SCN10A	1
SDC4	1
SDHAF2	1
SDHB	1
SEPT9	1
SERPINA7	1
SFRP1	1
SH2D1A	1
SIGLEC7	1
SLC22A16	1
SLC22A4	1
SLC45A3	1
SLCO1B1	1
SLCO1B3	1
SNRNP200	1
SOS2	1
SOX1	1
SOX2	1
SPOP	1
SPRY2	1
SRCAP	1
SRGAP3	1
SRSF2	1
STAT4	1
STAT6	1
SYNE1	1
SYNE2	1
TACC3	1
TCF7L2	1
TCN1	1
TEK	1
TEKT4	1
TFG	1
TGFBR3	1
TGM2	1
THRA	1
TKT	1
TLR2	1
TM6SF1	1
TNFRSF11A	1
TNFSF14	1
TOP1	1
TOP2B	1
TP73	1
TRA2A	1
TRPS1	1
TRPV4	1
TSPAN31	1
UBA1	1
UBE2D1	1
UBE3C	1
UMPS	1
USP25	1
VWF	1
WNT1	1
WNT11	1
WNT4	1
WWP1	1
XPC	1
XRCC1	1
YAP1	1
ZADH2	1
ZNF276	1
ZNF331	1
ZNF444	1
ZNF521	1
ZRSR2	1

