gene	number
IRF2	1
IRF8	1
ITGA4	1
KRT8	1
L2HGDH	1
LANCL1	1
LIFR	1
LRRC4C	1
LYN	1
MAD1L1	1
MAP2K3	1
MAP2K7	1
MAP3K4	1
MAP3K7	1
MAP4K3	1
MIF	1
MKI67	1
MKRN1	1
MLH3	1
MMP8	1
MPL	1
MTBP	1
MUTYH	1
MYD88	1
MYH9	1
NALCN	1
NBN	1
NCOA1	1
NFASC	1
NLGN4X	1
NR3C2	1
NT5C1A	1
NUP93	1
PAK3	1
PALLD	1
PARP1	1
PCM1	1
PDE10A	1
PDE4B	1
PDE5A	1
PDGFB	1
PDHA1	1
PDK1	1
PFKFB1	1
PFKFB3	1
PGK2	1
PHOX2B	1
PIM1	1
PKD2	1
PKLR	1
PKM	1
PLAG1	1
PMEL	1
POT1	1
PPM1D	1
PRKCB	1
PRKCI	1
PROKR2	1
PTPN1	1
PTPRK	1
PTTG1	1
PYROXD1	1
RAD51B	1
RAD51D	1
RBP2	1
RECQL	1
RECQL4	1
RIPK2	1
ROCK1	1
RRM1	1
RUNX3	1
RXRA	1
SAMD9L	1
SBDS	1
SCUBE2	1
SELL	1
SETD6	1
SFRP1	1
SGK1	1
SIRT2	1
SLC22A12	1
SLC22A16	1
SLCO1B1	1
SOCS1	1
SOX9	1
SS18	1
STAT4	1
STAT5B	1
STOML1	1
STS	1
SUCLG1	1
SUMO1	1
SUZ12	1
SYNE2	1
TBC1D20	1
TCF4	1
TEK	1
TGFBR1	1
THRB	1
TNFRSF11A	1
TOP1	1
TP73	1
TPH2	1
TPI1	1
TRMT61B	1
TTLL5	1
TTR	1
UBA1	1
UGT1A1	1
UGT1A6	1
UMPS	1
USP9X	1
VWF	1
WAS	1
WEE1	1
XPA	1
XPC	1
XPO1	1
XRCC6	1
YAP1	1
ZFHX3	1
ZNRF3	1

